Gene,ENS ref,refseq match,gene symbol,# nucleotides,log likelihood dN/dS >= 0,log likelihood dN/dS=1,p-value for likelihood ratio test of dN/dS=1 versus dN/dS > 1.  Test not performed for data genes with 2 mutations or less or less than 50 codons. p=1 indicates that dN/dS < 1.,included in restrictive data set?
HC3184,,,LGP1,537,-693.659,-695.02,,yes
HC3185,ENSG00000151884,XM_058404,,951,-1294.06,-1294.29,,no
HC3186,,,ZBED2,627,-850.472,-852.775,1,yes
HC3187,ENSG00000168259,NM_003315,DNAJC7,744,-991.167,-991.167,,yes
HC3188,,,,150,-195.652,-195.652,,no
HC3189,ENSG00000189283,NM_002012,,186,-248.809,-249.205,,yes
HC3190,,XM_117268,,591,-827.82,-829.499,0.152509,no
HC3191,ENSG00000108773,NM_021078,RAB5C,1659,-2182.74,-2194.2,1,yes
HC3192,,,,633,-886.258,-887.525,0.226688,no
HC3193,ENSG00000156689,NM_145016,BXMAS2-10,825,-1189.32,-1190.18,0.091193,yes
HC3194,ENSG00000109689,NM_020860,STIM2,1740,-2356.75,-2363.41,1,yes
HC3195,,,DDAH1,186,-262.536,-263.245,,no
HC3196,,,,51,,,,no
HC3197,,,,6,,,,no
HC3198,,,,2919,-3915.33,-3923.75,1,yes
HC3199,,,,114,,,,no
HC3200,,,,339,-460.23,-461.458,,no
HC3201,,,,225,-330.803,-330.984,0.198215,no
HC3202,ENSG00000165084,NM_052958,VEST1,267,-354.05,-354.672,,yes
HC3203,ENSG00000152700,NM_016103,LOC51128,141,,,,yes
HC3204,ENSG00000162897,NM_032029,FKSG87,990,-1422.01,-1422.02,1,yes
HC3205,,,,90,,,,yes
HC3206,,,PROL5,48,,,,no
HC3207,ENSG00000171195,NM_152291,MUC7,816,-1073.3,-1073.32,0.350466,yes
HC3208,,,CSN1S1,378,-518.58,-518.808,,yes
HC3209,,XM_374062,,552,-762.749,-764.179,1,no
HC3210,ENSG00000168140,NM_138440,,1278,-1624.61,-1629.78,1,yes
HC3211,,,,312,-451.487,-453.412,0.022261,no
HC3212,,,,156,-218.49,-218.49,0.332823,no
HC3213,ENSG00000185481,NM_152506,FLJ32835,36,,,,yes
HC3214,ENSG00000113575,NM_002715,PPP2CA,423,-563.068,-563.068,,yes
HC3215,ENSG00000113558,NM_170679,SKP1A,258,-328.144,-328.144,,yes
HC3216,,,,135,,,,no
HC3217,ENSG00000170238,,,624,-827.342,-827.47,1,no
HC3218,ENSG00000178878,NM_030817,DKFZP434F0318,477,-615.51,-619.046,,yes
HC3219,,,,312,-438.588,-438.635,0.284092,no
HC3220,,,VDAC1,504,-676.171,-676.171,,no
HC3221,,,,69,,,,no
HC3222,ENSG00000081059,NM_201634,TCF7,471,-603.494,-603.494,,yes
HC3223,ENSG00000147896,NM_020124,IFNK,357,-475.147,-476.2,1,yes
HC3224,,,,219,-330.378,-330.735,1,no
HC3225,,,,405,-582.529,-583.532,1,no
HC3226,ENSG00000168771,NM_052967,MAS1L,918,-1323.68,-1324.25,1,yes
HC3227,ENSG00000178690,NM_173629,,450,-635.764,-636.046,0.316694,yes
HC3228,ENSG00000043143,NM_015288,KIAA0239,1857,-2506.5,-2510.75,1,yes
HC3229,,,,183,-269.761,-269.92,1,no
HC3230,ENSG00000113583,NM_020199,HTGN29,621,-848.774,-848.782,0.6381,yes
HC3231,,,,558,-805.863,-806.018,1,no
HC3232,,,,360,-489.117,-489.781,,no
HC3233,ENSG00000184675,NM_152424,FLJ39827,1821,-2541.01,-2541.16,1,yes
HC3234,ENSG00000182154,NM_032477,MRPL41,285,-360.681,-364.946,,yes
HC3235,,,,18,,,,no
HC3236,ENSG00000154007,NM_080868,,765,-1027.09,-1027.31,,yes
HC3237,,,,237,-324.761,-324.961,,no
HC3238,,,DDX46,2232,-2981.05,-2990.74,1,yes
HC3239,,,,270,-353.964,-354.145,,yes
HC3240,,,,633,-870.238,-870.931,0.141611,no
HC3241,,XM_377262,,297,-373.88,-374.027,1,no
HC3242,,NM_019059,TOM7,147,,,,yes
HC3243,,,,501,-708.199,-709.869,1,no
HC3244,,NM_080656,MGC13017,162,-215.317,-215.317,,yes
HC3245,,,,45,,,,no
HC3246,,,,792,-1099.15,-1099.15,0.615203,no
HC3247,,,,144,,,,no
HC3248,,,,630,-836.757,-837.043,,yes
HC3249,ENSG00000163394,NM_000730,CCKAR,861,-1133.57,-1136.43,,yes
HC3250,,,,258,-349.729,-350.115,,no
HC3251,,,,36,,,,no
HC3252,,,,477,-681.502,-681.673,1,no
HC3253,ENSG00000183186,XM_065166,,255,-314.513,-314.714,,no
HC3254,ENSG00000146267,NM_032511,C6orf168,621,-851.07,-851.095,1,yes
HC3255,,,,177,-254.295,-254.319,1,no
HC3256,ENSG00000120436,NM_005299,GPR31,585,-773.999,-775.32,1,yes
HC3257,,,,315,-451.061,-451.179,1,no
HC3258,,,,105,,,,no
HC3259,ENSG00000179456,"NM_006352,NM_205768",ZNF238,1125,-1505.16,-1510.81,1,yes
HC3260,,XM_372792,,771,-1077.27,-1077.53,0.38317,no
HC3261,ENSG00000054282,NM_006642,,726,-961.324,-961.571,,yes
HC3262,ENSG00000103599,NM_022784,FLJ12476,1629,-2244.94,-2245.31,1,yes
HC3263,,,,402,-577.052,-577.536,1,no
HC3264,ENSG00000178974,NM_017943,FBXO34,2034,-2841.64,-2841.64,0.549615,yes
HC3265,ENSG00000104941,NM_030785,RSHL1,1731,-2286.34,-2292.82,1,no
HC3266,ENSG00000168152,NM_024672,FLJ23320,2043,-2746.85,-2748.16,1,yes
HC3267,,,,228,-294.709,-294.709,,no
HC3268,,,,159,-212.929,-212.929,,no
HC3269,,XM_379398,,333,-446.721,-447.1,,no
HC3270,,,,198,-287.453,-287.864,1,no
HC3271,,,,471,-635.236,-636.544,,no
HC3272,,,,630,-897.006,-898.15,1,no
HC3273,,,,252,-361.431,-361.724,1,no
HC3274,,,,276,-395.402,-395.412,0.63297,no
HC3275,,NM_017634,,420,-559.929,-559.929,,no
HC3276,ENSG00000170233,XM_371008,DEFCAP,369,-495.897,-496.607,1,no
HC3277,,,,150,-211.212,-211.954,,no
HC3278,,XM_037557,,2019,-2804.7,-2811.14,1,no
HC3279,,,,504,-709.482,-709.643,1,no
HC3280,,"XM_291726,XM_291757",,780,-1091.59,-1091.69,1,no
HC3281,,,,147,,,,no
HC3282,,,,195,-268.217,-268.563,,no
HC3283,,,,180,-256.724,-257.785,0.2877,no
HC3284,,,,330,-469.899,-471.028,1,no
HC3285,ENSG00000178177,NM_153686,MLR1,1302,-1724.99,-1725.33,,no
HC3286,ENSG00000111986,NM_030949,PPP1R14C,105,,,,yes
HC3287,,,VGLL2,279,-369.435,-369.435,,yes
HC3288,,,,471,-646.589,-646.672,,no
HC3289,ENSG00000149639,NM_152257,KIAA0889,1260,-1684.18,-1689.74,1,yes
HC3290,,,,57,,,,no
HC3291,ENSG00000104722,NM_005382,NEF3,2199,-2912.55,-2916.1,1,yes
HC3292,,,,255,-374.745,-375.148,0.117361,no
HC3293,ENSG00000104725,NM_006158,NEFL,1521,-1957.44,-1962.95,1,yes
HC3294,ENSG00000109771,,DKFZp761O0113,777,-1053.43,-1053.62,,yes
HC3295,ENSG00000109775,NM_018359,FLJ11200,1266,-1734.2,-1742.15,1,yes
HC3296,ENSG00000109762,NM_031953,SNX25,1320,-1793.37,-1794.18,1,yes
HC3297,,,,81,,,,no
HC3298,ENSG00000186352,NM_181726,,354,-500.998,-502.828,1,yes
HC3299,ENSG00000005339,NM_004380,CREBBP,4860,-6606.56,-6613.08,1,no
HC3300,ENSG00000126602,NM_016292,TRAP1,1638,-2249.64,-2257.11,1,yes
HC3301,ENSG00000126594,NM_005223,DNASE1,744,-1012.1,-1012.74,1,yes
HC3302,ENSG00000006194,NM_005741,ZNF205,1863,-2569.04,-2569.32,1,yes
HC3303,ENSG00000010539,"NM_003454,NM_198088",ZNF200,1104,-1517.65,-1518.26,1,yes
HC3304,ENSG00000103343,NM_003450,ZNF174,1065,-1470.61,-1471.06,1,yes
HC3305,ENSG00000168124,NM_012360,OR1F1,378,-510.153,-510.527,1,yes
HC3306,,,FLJ33071,1233,-1753.4,-1754.92,1,yes
HC3307,ENSG00000162104,,ADCY9,2868,-3812.02,-3823.34,1,yes
HC3308,ENSG00000167984,NM_178844,,462,-615.056,-615.056,,yes
HC3309,ENSG00000178490,,,420,-554.628,-554.949,,no
HC3310,ENSG00000167984,NM_178844,,459,-597.562,-600.7,1,yes
HC3311,ENSG00000103313,NM_000243,MEFV,939,-1291.71,-1295.65,1,yes
HC3312,,,ZNF434,1236,-1734.65,-1734.66,1,yes
HC3313,,,ZNF288,687,-913.525,-915.056,,yes
HC3314,,,,300,-426.476,-426.522,1,no
HC3315,ENSG00000163610,,FLJ11142,375,-502.086,-502.886,0.340649,yes
HC3316,ENSG00000015479,NM_018834,MATR3,1995,-2695.03,-2695.37,1,no
HC3317,ENSG00000170464,NM_152686,MGC29463,936,-1280.21,-1281.26,1,yes
HC3318,ENSG00000170476,NM_016459,,384,-523.712,-524.057,,yes
HC3319,ENSG00000120727,NM_016480,PAIP2,369,-478.613,-478.613,,yes
HC3320,ENSG00000163872,,FLJ10201,2601,-3640.26,-3647.19,1,yes
HC3321,ENSG00000175193,NM_018622,PARL,711,-977.369,-977.594,,yes
HC3322,ENSG00000144834,NM_013259,NP25,594,-800.219,-804.638,1,yes
HC3323,,,ISL1,750,-1034.02,-1036.46,,yes
HC3324,ENSG00000086288,NM_016616,TXNDC3,1599,-2205.47,-2206.15,1,yes
HC3325,ENSG00000006715,NM_014396,VPS41,2073,-2770.16,-2773.96,1,yes
HC3326,ENSG00000078053,"NM_001635,NM_139316",AMPH,1578,-2145.31,-2147.46,1,yes
HC3327,ENSG00000086289,NM_017549,UCC1,717,-975.973,-976.631,1,yes
HC3328,ENSG00000010270,NM_032016,STARD3NL,540,-740.157,-743.7,1,yes
HC3329,ENSG00000112576,NM_001760,CCND3,414,-556.297,-556.644,,yes
HC3330,ENSG00000159167,NM_003155,STC1,735,-1002.56,-1006.63,1,yes
HC3331,ENSG00000167034,NM_006167,NKX3-1,414,-560.796,-561.633,0.340649,yes
HC3332,ENSG00000147454,NM_016612,MSCP,1005,-1360.65,-1361.9,1,yes
HC3333,ENSG00000134013,NM_002318,LOXL2,1368,-1826.51,-1839.93,1,yes
HC3334,ENSG00000115425,NM_018441,PECR,783,-1079.06,-1079.07,1,yes
HC3335,,NM_018000,FLJ10116,543,-756.197,-757.639,0.11353,yes
HC3336,,XM_047355,,2394,-3243.6,-3245.84,1,no
HC3337,ENSG00000168016,XM_047357,,1614,-2190.79,-2191.67,1,no
HC3338,ENSG00000112238,NM_021620,PRDM13,714,-939.03,-939.509,,yes
HC3339,ENSG00000172461,NM_006581,FUT9,513,-698.892,-700.087,,yes
HC3340,ENSG00000123545,NM_014165,C6orf66,507,-695.922,-697.785,1,yes
HC3341,ENSG00000090376,NM_007199,IRAK3,786,-1075,-1075.96,0.33818,yes
HC3342,ENSG00000155957,NM_016056,CGI-119,288,-392.009,-392.764,,yes
HC3343,ENSG00000139233,NM_032338,,174,-218.984,-220.16,,no
HC3344,ENSG00000115365,NM_006055,LANCL1,891,-1231.42,-1232.3,1,yes
HC3345,ENSG00000021826,NM_001875,CPS1,3081,-4278.9,-4289.92,1,yes
HC3346,ENSG00000144445,NM_152519,FLJ23861,1155,-1538.38,-1538.93,,yes
HC3347,ENSG00000118226,NM_199229,RPE,561,-752.226,-752.226,,no
HC3348,ENSG00000168530,NM_079420,MYL1,357,-477.979,-479.235,,yes
HC3349,,,FLJ23861,1374,-1845.66,-1852.44,1,yes
HC3350,ENSG00000168081,NM_006228,PNOC,525,-688.552,-690.12,,yes
HC3351,,,,798,-1109.88,-1110.86,1,yes
HC3352,ENSG00000029514,NM_015254,KIF13B,3804,-5229.67,-5235.79,1,yes
HC3353,ENSG00000147421,NM_024567,FLJ21616,786,-1051.44,-1051.44,,yes
HC3354,ENSG00000104299,NM_018250,FLJ10871,1944,-2648.3,-2653.3,1,yes
HC3355,ENSG00000104290,NM_017412,FZD3,1902,-2613.07,-2621.08,1,yes
HC3356,ENSG00000159076,NM_018660,DKFZp434K1210,861,-1165.46,-1170.44,1,yes
HC3357,ENSG00000184486,NM_005604,POU3F2,258,-321.928,-321.928,,yes
HC3358,"ENSG00000187615,ENSG00000140905",NM_004483,GCSH,114,,,,yes
HC3359,ENSG00000166446,NM_152342,FLJ38866,1257,-1731.97,-1738.94,1,yes
HC3360,ENSG00000168589,NM_130897,DNCL2B,285,-373.228,-373.228,,yes
HC3361,ENSG00000112276,"NM_007073,NM_147147",BVES,882,-1218.27,-1218.29,1,yes
HC3362,,,STXBP5,3132,-4287.63,-4297.96,1,yes
HC3363,ENSG00000111961,NM_015278,KIAA0790,1968,-2704.72,-2707.61,1,yes
HC3364,ENSG00000111885,NM_005907,MAN1A1,1341,-1828.08,-1830.09,1,yes
HC3365,ENSG00000112655,NM_002821,PTK7,3021,-4113.88,-4121.18,1,yes
HC3366,,,BYSL,753,-1007.58,-1007.79,,yes
HC3367,,,TRFP,564,-759.858,-761.26,,yes
HC3368,ENSG00000068781,"NM_006872,NM_172311",,588,-783.104,-783.618,,yes
HC3369,ENSG00000138039,NM_000233,LHCGR,1500,-2051.57,-2052.6,1,yes
HC3370,ENSG00000051341,"NM_006596,NM_199420",POLQ,174,-223.094,-223.094,,yes
HC3371,ENSG00000163833,NM_016298,LOC51725,2067,-2854.91,-2855.73,1,yes
HC3372,ENSG00000145087,XM_045911,,2430,-3290.08,-3292.83,,no
HC3373,ENSG00000173226,,KIAA0036,498,-663.244,-663.557,,yes
HC3374,ENSG00000164418,NM_021956,GRIK2,1626,-2224.57,-2232.31,1,yes
HC3375,ENSG00000112406,NM_016217,HECA,1005,-1342.9,-1347.11,1,yes
HC3376,ENSG00000118503,NM_006290,,1407,-1947.93,-1952.04,1,yes
HC3377,ENSG00000115844,NM_004405,DLX2,291,-388.873,-391.82,,yes
HC3378,ENSG00000172878,NM_199227,,840,-1160.68,-1162.6,1,yes
HC3379,ENSG00000128708,NM_003642,HAT1,684,-912.631,-914.012,,yes
HC3380,ENSG00000144355,NM_178120,,372,-503.72,-505.006,,yes
HC3381,,XM_371250,,255,-311.214,-311.214,,no
HC3382,,XM_371250,,555,-726.671,-727.824,1,no
HC3383,ENSG00000027697,NM_000416,IFNGR1,1029,-1384.13,-1384.74,,yes
HC3384,ENSG00000114698,NM_020353,PLSCR4,867,-1215.89,-1217.06,1,yes
HC3385,ENSG00000112208,NM_004282,BAG2,417,-549.435,-549.435,,yes
HC3386,ENSG00000135577,NM_002511,NMBR,576,-787.439,-787.481,1,yes
HC3387,,"NM_031942,NM_145810",CDCA7,1050,-1473.09,-1475.78,1,yes
HC3388,ENSG00000091436,NM_133646,ZAK,1362,-1842.63,-1845.24,,yes
HC3389,ENSG00000010818,NM_006734,HIVEP2,4959,-6842.5,-6849.64,1,yes
HC3390,,,PLAGL1,1362,-1846.55,-1847.43,1,yes
HC3391,ENSG00000138036,NM_016008,D2LIC,816,-1107.36,-1108.77,0.162278,yes
HC3392,ENSG00000152527,NM_172069,,1314,-1797.9,-1797.92,1,yes
HC3393,ENSG00000138095,NM_133259,LRPPRC,3420,-4632.87,-4640.22,1,yes
HC3394,ENSG00000138079,NM_000341,SLC3A1,489,-670.78,-671.411,,yes
HC3395,ENSG00000138078,,,1245,-1669.2,-1672.3,1,no
HC3396,ENSG00000169679,NM_004336,BUB1,2469,-3370,-3370.22,1,yes
HC3397,ENSG00000146425,NM_006519,TCTEL1,183,-240.403,-240.403,,yes
HC3398,ENSG00000048545,NM_000409,GUCA1A,597,-785.685,-793.81,1,yes
HC3399,"ENSG00000189018,ENSG00000122339",NM_018452,C6orf35,420,-573.223,-574.39,,yes
HC3400,,,FLJ13611,933,-1247.93,-1249.29,,yes
HC3401,ENSG00000069535,NM_000898,MAOB,1473,-2051.6,-2058.45,1,yes
HC3402,,NM_000240,MAOA,1470,-2050.89,-2053.84,1,yes
HC3403,,NM_025184,FLJ22843,2007,-2729.92,-2729.96,1,yes
HC3404,ENSG00000069509,NM_173794,,333,-448.081,-448.081,,yes
HC3405,ENSG00000169050,,NCYM,324,-457.152,-458.293,0.072346,no
HC3406,ENSG00000178394,NM_000524,HTR1A,1161,-1531.61,-1531.74,1,yes
HC3407,,,KIF2,1062,-1380.93,-1382.46,,yes
HC3408,ENSG00000182580,NM_004443,EPHB3,2508,-3351.17,-3369.49,1,yes
HC3409,ENSG00000111799,NM_004370,COL12A1,7257,-9962.06,-9980.13,1,yes
HC3410,ENSG00000173320,,,1836,-2549.25,-2554.81,1,no
HC3411,ENSG00000164303,NM_153343,MGC33971,480,-657.597,-659.964,,yes
HC3412,ENSG00000106683,NM_002314,LIMK1,1614,-2102.67,-2109.57,1,yes
HC3413,,XM_371843,,303,-406.756,-407.947,1,no
HC3414,ENSG00000112337,NM_005835,SLC17A2,1089,-1498.94,-1499.11,,yes
HC3415,ENSG00000163219,XM_376060,KIAA0053,1656,-2254.51,-2255.64,1,no
HC3416,,,,441,-660.352,-660.666,0.191906,no
HC3417,,,,288,-403.841,-404.925,0.239994,no
HC3418,,,,345,-498.071,-498.193,0.466814,no
HC3419,,,,345,-498.558,-499.074,1,no
HC3420,,,,174,-283.07,-285.353,1,no
HC3421,ENSG00000185478,,,360,-490.88,-491.194,,no
HC3422,,,,513,-737.733,-737.739,0.500897,no
HC3423,ENSG00000134330,XM_209490,,777,-1094.03,-1097.59,1,no
HC3424,ENSG00000174947,NM_003031,,840,-1161.6,-1165.49,1,yes
HC3425,ENSG00000166828,NM_001039,SCNN1G,1563,-2159.44,-2163.04,1,yes
HC3426,,XM_374682,,924,-1243.86,-1243.87,1,no
HC3427,ENSG00000173525,NM_012369,OR2F1,762,-1067.04,-1067.72,1,yes
HC3428,ENSG00000189215,,,393,-546.602,-546.703,0.499477,no
HC3429,,"XM_294316,XM_380063",,831,-1118.4,-1119.81,0.20088,no
HC3430,,XM_374684,,792,-1076.75,-1076.9,,no
HC3431,ENSG00000187872,XM_374687,,696,-991.683,-991.755,0.396939,yes
HC3432,ENSG00000127903,NM_006210,ZIM2,3576,-4917.12,-4917.37,0.230189,yes
HC3433,ENSG00000176798,XM_061614,,762,-1050.89,-1050.96,1,no
HC3434,ENSG00000167346,NM_021801,MMP26,663,-941.879,-944.314,0.062413,yes
HC3435,ENSG00000176895,XM_061619,,933,-1291.27,-1291.5,1,no
HC3436,,,,1035,-1436.09,-1437.28,1,no
HC3437,ENSG00000180785,NM_152430,,834,-1148.1,-1151.66,1,yes
HC3438,,XM_372349,,273,-364.242,-364.242,,no
HC3439,,XM_061674,,483,-681.964,-683.024,1,no
HC3440,ENSG00000171994,XM_372347,,42,,,,no
HC3441,,,,690,-940.101,-941.585,0.104756,no
HC3442,ENSG00000181963,XM_061676,,321,-471.99,-472.488,1,no
HC3443,,,,606,-846.26,-846.77,1,no
HC3444,,XM_372465,,930,-1282.38,-1283.23,0.170273,no
HC3445,,XM_372462,,204,-252.739,-252.739,,no
HC3446,ENSG00000116580,,FLJ20203,1041,-1416.66,-1422.41,1,yes
HC3447,ENSG00000131503,"NM_017747,NM_020690,NM_024668",EIF4EBP3,1221,-1629.88,-1630.98,1,yes
HC3448,ENSG00000008256,NM_004227,PSCD3,543,-716.085,-717.523,,yes
HC3449,ENSG00000166363,NM_178168,,765,-1013.39,-1013.39,,yes
HC3450,,,,693,-957.698,-958.226,0.180436,no
HC3451,,NM_033180,OR51B4,660,-870.315,-870.315,,yes
HC3452,ENSG00000183251,NM_033179,OR51B4,807,-1076.59,-1076.59,,yes
HC3453,ENSG00000167359,XM_372356,,789,-1041.94,-1042.3,,no
HC3454,ENSG00000180980,XM_372366,,732,-977.569,-978.248,,no
HC3455,,,,918,-1303.17,-1304.73,1,no
HC3456,ENSG00000180461,XM_166923,,738,-993.158,-994.23,0.267662,no
HC3457,,,,945,-1282.72,-1282.88,1,no
HC3458,ENSG00000172772,XM_370622,,828,-1144.07,-1144.37,0.317486,no
HC3459,ENSG00000186121,XM_372388,,453,-652.065,-652.083,0.374087,no
HC3460,ENSG00000186119,XM_166879,,480,-665.285,-665.47,0.189517,no
HC3461,,,,294,-389.727,-390.117,,no
HC3462,ENSG00000181752,XM_166813,,846,-1138.8,-1138.83,0.438135,no
HC3463,ENSG00000052126,NM_019012,PEPP2,1752,-2308.46,-2309.8,,yes
HC3464,ENSG00000168811,NM_000882,IL12A,756,-1048.77,-1050.55,1,yes
HC3465,ENSG00000057294,NM_004572,PKP2,2109,-2918.14,-2920.14,1,yes
HC3466,ENSG00000114631,NM_015720,PODLX2,1530,-2071.22,-2073.03,1,yes
HC3467,ENSG00000137936,NM_003567,BCAR3,1596,-2213.84,-2214.2,1,yes
HC3468,ENSG00000100441,,,1695,-2318.85,-2320.92,1,no
HC3469,ENSG00000078098,NM_004460,FAP,2040,-2742.8,-2748.3,1,yes
HC3470,ENSG00000187045,NM_153019,TMPRSS6,858,-1116.89,-1119.81,1,yes
HC3471,,NM_006953,UPK3,522,-706.395,-708.853,1,yes
HC3472,ENSG00000124732,NM_030903,OR2W1,957,-1324.82,-1327.67,0.033918,yes
HC3473,,XM_372598,,636,-876.279,-876.28,1,no
HC3474,ENSG00000182854,XM_372597,,663,-897.827,-897.835,1,no
HC3475,ENSG00000172487,XM_166829,,726,-1050.1,-1050.12,1,no
HC3476,ENSG00000181761,XM_372391,,570,-789.312,-789.431,0.474056,no
HC3477,ENSG00000181767,XM_372390,,933,-1329.27,-1329.28,1,no
HC3478,,,,414,-577.665,-577.97,0.29615,no
HC3479,ENSG00000181780,XM_377200,,498,-699.851,-700.449,0.096726,no
HC3480,,,,387,-565.53,-565.534,1,no
HC3481,ENSG00000100364,XM_047214,,606,-812.007,-814.91,1,no
HC3482,ENSG00000156886,,,1557,-2144.18,-2147.8,1,no
HC3483,ENSG00000077935,NM_148674,SMC1L2,2664,-3551.75,-3551.89,1,no
HC3484,,,,324,-447.998,-448.341,,no
HC3485,,,,279,-410.573,-410.833,0.379917,no
HC3486,,,,333,-462.111,-462.296,,no
HC3487,,,,327,-470.986,-471.101,1,no
HC3488,,,DKFZP566F0546,384,-492.715,-492.715,,yes
HC3489,,,,300,-467.654,-468.037,0.170252,no
HC3490,,,,123,,,,no
HC3491,ENSG00000185347,NM_173608,CRIP1,429,-562.271,-562.644,1,yes
HC3492,,,ICAP-1A,126,,,,yes
HC3493,ENSG00000125629,NM_016133,INSIG2,636,-850.952,-852.279,,yes
HC3494,,,,588,-774.228,-774.559,,no
HC3495,ENSG00000164692,NM_000089,COL1A2,3606,-4564.16,-4569.08,1,yes
HC3496,ENSG00000186654,"NM_015366,NM_181333",ARHGAP8,984,-1253.7,-1262.98,1,yes
HC3497,ENSG00000100376,NM_017911,FLJ20635,645,-899.5,-900.439,1,yes
HC3498,ENSG00000056487,NM_138415,LOC112885,411,-538.287,-543.651,1,yes
HC3499,ENSG00000171467,,ZNF318,5151,-7097.3,-7099,1,yes
HC3500,,,ARSA,1074,-1425.37,-1430.9,1,yes
HC3501,,,KIAA0685,1782,-2401.67,-2404.83,1,yes
HC3502,ENSG00000008735,"NM_012324,NM_139124",MAPK8IP2,738,-974.926,-985.314,1,yes
HC3503,ENSG00000100288,"NM_004377,NM_152245,NM_152246",CPT1B,2145,-2879.44,-2879.45,0.520487,yes
HC3504,,,ECGF1,522,-672.673,-672.673,,yes
HC3505,ENSG00000100253,NM_017584,ALDRL6,81,,,,yes
HC3506,ENSG00000130487,NM_138433,LOC113730,807,-1080.86,-1081.42,1,yes
HC3507,,XM_037493,,1335,-1736.98,-1737.23,,no
HC3508,,,ECGF1,78,,,,no
HC3509,ENSG00000025770,NM_152299,384D8-2,1002,-1331.92,-1339.3,1,yes
HC3510,ENSG00000100258,NM_033200,ECGF1,717,-918.42,-924.128,1,yes
HC3511,ENSG00000178562,NM_006139,CD28,606,-834.206,-836.71,,yes
HC3512,ENSG00000163599,NM_005214,CTLA4,636,-876.37,-878.809,,yes
HC3513,,,SUPT3H,762,-1037.78,-1038,,yes
HC3514,ENSG00000172348,NM_005822,DSCR1L1,411,-554.464,-554.464,,yes
HC3515,ENSG00000153291,,UCP4,180,-243.262,-243.262,,yes
HC3516,ENSG00000115816,NM_005760,CBF2,2322,-3135.99,-3136.42,1,yes
HC3517,ENSG00000115825,NM_005813,PRKCN,2376,-3207.06,-3207.36,,yes
HC3518,ENSG00000055332,NM_002759,PRKR,750,-992.217,-992.227,1,yes
HC3519,ENSG00000115828,NM_012413,QPCT,768,-1057.28,-1062.08,1,yes
HC3520,ENSG00000003509,NM_144736,PRO1853,207,-269.882,-269.882,,yes
HC3521,ENSG00000185082,NM_030915,LBH,288,-377.354,-377.635,,yes
HC3522,ENSG00000028310,,FLJ13441,576,-799.808,-800.905,1,yes
HC3523,,,NKD2,645,-886.659,-888.695,1,yes
HC3524,ENSG00000071539,NM_004237,TRIP13,615,-846.576,-846.603,0.427048,yes
HC3525,ENSG00000118482,NM_015153,PHF3,4683,-6266.5,-6268.92,1,yes
HC3526,ENSG00000130508,XM_056455,,2655,-3571.97,-3575.27,1,no
HC3527,ENSG00000152492,"NM_174908,NM_178335",,621,-803.641,-804.762,,yes
HC3528,ENSG00000159409,NM_007185,TNRC4,687,-903.068,-904.521,,no
HC3529,,NM_005060,RORC,1374,-1835.29,-1835.58,,yes
HC3530,ENSG00000143450,NM_016178,OAZ3,78,,,,yes
HC3531,ENSG00000143377,NM_002966,S100A10,126,,,,yes
HC3532,ENSG00000163191,NM_005620,S100A11,144,,,,yes
HC3533,ENSG00000143536,NM_016190,C1orf10,1167,-1587.09,-1587.38,0.276763,yes
HC3534,ENSG00000182134,NM_006862,TDRKH,1566,-2158.33,-2158.35,1,yes
HC3535,ENSG00000163186,NM_182578,,441,-607.746,-608.374,,yes
HC3536,ENSG00000143436,NM_031420,MRPL9,444,-613.927,-614.79,1,yes
HC3537,,NM_053055,CTMP,477,-693.608,-693.948,0.315773,yes
HC3538,ENSG00000008282,"NM_006754,NM_182715",SYPL,609,-830.267,-831.447,1,yes
HC3539,ENSG00000105851,NM_002649,PIK3CG,2724,-3712.83,-3719.57,1,yes
HC3540,ENSG00000105865,NM_181581,PP35,309,-409.032,-409.032,,yes
HC3541,ENSG00000052795,,,2757,-3908.13,-3910.08,1,no
HC3542,ENSG00000169255,"NM_003781,NM_033167,NM_033168,NM_033169",B3GALT3,507,-690.26,-692.616,,yes
HC3543,,NM_139245,PP2CE,486,-661.457,-662.726,,yes
HC3544,ENSG00000085382,NM_020771,,1431,-1931.33,-1931.62,,yes
HC3545,ENSG00000122787,NM_005989,AKR1D1,717,-981.213,-983.679,,yes
HC3546,ENSG00000108788,NM_198205,TCFL4,96,,,,yes
HC3547,ENSG00000108797,NM_003632,CNTNAP1,2382,-3207.22,-3212.59,1,yes
HC3548,ENSG00000108786,NM_000413,HSD17B1,351,-468.821,-469.655,1,yes
HC3549,,,HUMGT198A,612,-797.819,-800.545,,yes
HC3550,ENSG00000108799,NM_001991,EZH1,1914,-2610.35,-2615.47,1,yes
HC3551,ENSG00000131467,NM_176863,PSME3,447,-595.893,-596.233,,yes
HC3552,ENSG00000131471,NM_003734,AOC3,1155,-1574.3,-1581.64,1,yes
HC3553,,,G6PC,909,-1240.13,-1240.48,1,yes
HC3554,ENSG00000131480,NM_009590,AOC2,1314,-1792.44,-1793.31,1,yes
HC3555,ENSG00000183978,NM_014019,HSPC009,204,-265.208,-265.208,,yes
HC3556,ENSG00000108830,NM_005440,ARHN,345,-469.932,-471.168,,yes
HC3557,ENSG00000108828,NM_006373,VAT1,672,-886.324,-886.328,1,yes
